Date,Code région,Season,Période,Day_type,Total énergie soutirée (MWh),Conso_1pt (KWh),Région
2022-08-15,32,Summer,période 2,National Holidays,25080.991803,288.42027200006146,Hauts-de-France
2022-08-16,24,Summer,période 2,School Holidays,13310.896368,293.83701384567115,Centre-Val de Loire
2022-08-16,32,Summer,période 2,School Holidays,25724.41189,302.8887186759078,Hauts-de-France
2022-08-17,24,Summer,période 2,School Holidays,13118.290668,289.1344974606877,Centre-Val de Loire
2022-08-17,32,Summer,période 2,School Holidays,25384.747984,299.40421608321293,Hauts-de-France
2022-08-18,24,Summer,période 2,School Holidays,13032.392636,286.7622539474935,Centre-Val de Loire
2022-08-18,32,Summer,période 2,School Holidays,25207.566001,298.1075179619212,Hauts-de-France
2022-08-19,24,Summer,période 2,School Holidays,13137.599968,286.4227188337432,Centre-Val de Loire
2022-08-19,32,Summer,période 2,School Holidays,25458.544914,298.69550752142237,Hauts-de-France
2022-08-20,24,Summer,période 2,Week-end,13196.714823,275.30450609407893,Centre-Val de Loire
2022-08-20,32,Summer,période 2,Week-end,25596.800851,286.3500174452181,Hauts-de-France
2022-08-21,24,Summer,période 2,Week-end,13206.28478,267.19786524430435,Centre-Val de Loire
2022-08-21,32,Summer,période 2,Week-end,25650.409162,286.2610695007863,Hauts-de-France
2022-08-22,24,Summer,période 2,School Holidays,13365.288443,282.3853581894183,Centre-Val de Loire
2022-08-22,32,Summer,période 2,School Holidays,26036.472502,296.29097934877865,Hauts-de-France
2022-08-23,24,Summer,période 2,School Holidays,13580.185277,293.22478775332837,Centre-Val de Loire
2022-08-23,32,Summer,période 2,School Holidays,26489.824898,307.72561893541246,Hauts-de-France
2022-08-24,24,Summer,période 2,School Holidays,13858.430737,296.0096012715471,Centre-Val de Loire
2022-08-24,32,Summer,période 2,School Holidays,27065.569226,314.39769399525943,Hauts-de-France
